n,n_and,zx,pp,zx_time,pp_time
3,1,4,7.0,0.279541015625,10.114227056503296
3,1,4,7.0,0.003247976303100586,10.10271692276001
3,1,4,7.0,0.003248929977416992,10.105746984481812
3,1,4,7.0,0.0031883716583251953,10.104995965957642
3,1,4,7.0,0.003170013427734375,10.109060764312744
3,1,4,7.0,0.0032739639282226562,10.115174055099487
3,1,4,7.0,0.0032911300659179688,10.120450019836426
3,1,4,7.0,0.0031919479370117188,10.106222152709961
3,1,4,7.0,0.0031790733337402344,10.101678848266602
3,1,4,7.0,0.0032007694244384766,10.10478401184082
3,2,7,7.0,0.010322093963623047,10.281889915466309
3,2,7,7.0,0.010406970977783203,10.283811092376709
3,2,7,7.0,0.010019063949584961,10.20363473892212
3,2,7,7.0,0.010188817977905273,10.234062194824219
3,2,7,7.0,0.009965658187866211,40.30374574661255
3,2,7,7.0,0.011456012725830078,10.180563926696777
3,2,7,7.0,0.009555339813232422,10.191598176956177
3,2,7,7.0,0.009921073913574219,10.203382015228271
3,2,7,7.0,0.010293722152709961,10.222790002822876
3,2,7,7.0,0.010365962982177734,10.264772653579712
4,2,7,7.0,0.010351896286010742,10.06126880645752
4,2,9,11.0,0.009586334228515625,10.071508884429932
4,2,9,11.0,0.009003877639770508,10.078214883804321
4,2,7,7.0,0.009716033935546875,10.067959070205688
4,2,7,7.0,0.011361837387084961,10.066174983978271
4,2,7,7.0,0.011577844619750977,10.067812204360962
4,2,7,7.0,0.01023721694946289,10.043117046356201
4,2,7,7.0,0.012786865234375,10.062737226486206
4,2,7,7.0,0.01115107536315918,10.065500974655151
4,2,7,7.0,0.011619091033935547,10.050035953521729
4,3,12,7.0,0.02228713035583496,10.076294898986816
4,3,12,11.0,0.019997119903564453,10.083740234375
4,3,12,7.0,0.020546913146972656,10.070271015167236
4,3,12,7.0,0.021317720413208008,10.078518152236938
4,3,10,11.0,0.019804000854492188,10.099146127700806
4,3,12,11.0,0.01992511749267578,10.069766998291016
4,3,12,7.0,0.01998305320739746,10.069824934005737
4,3,12,11.0,0.020190000534057617,10.095386743545532
4,3,10,11.0,0.020354032516479492,10.083783864974976
4,3,10,11.0,0.020427703857421875,10.070629835128784
4,4,11,11.0,0.04011368751525879,10.03748607635498
4,4,11,11.0,0.044159889221191406,10.038392782211304
4,4,11,11.0,0.04367518424987793,10.035396099090576
4,4,11,11.0,0.04575514793395996,10.034941911697388
4,4,9,7.0,0.04587197303771973,10.065231084823608
4,4,9,7.0,0.040563106536865234,10.068059206008911
4,4,11,11.0,0.04018092155456543,10.044321060180664
4,4,9,7.0,0.043109893798828125,10.072021961212158
4,4,9,11.0,0.03979802131652832,10.05660605430603
4,4,11,11.0,0.03873109817504883,10.060129165649414
4,5,14,7.0,0.07127904891967773,10.064234018325806
4,5,14,7.0,0.07109498977661133,10.065778017044067
4,5,12,7.0,0.07179522514343262,10.074234962463379
4,5,14,7.0,0.0712580680847168,10.068017959594727
4,5,14,7.0,0.07552003860473633,10.057825803756714
4,5,14,7.0,0.07042312622070312,10.064537286758423
4,5,12,7.0,0.07398200035095215,10.058565139770508
4,5,14,7.0,0.07235884666442871,10.063066005706787
4,5,12,7.0,0.07610487937927246,10.061742067337036
4,5,14,7.0,0.07331681251525879,10.052305936813354
